Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Best Time (Months),Update Note,Best Time Source,Nearest Airport
262,Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Unknown,1.0,4.6,0,Yes,None,Historical,Yes,0.059,All,Nov–Feb,,state,Visakhapatnam Airport (VTZ)
263,Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2.0,4.1,20,Yes,Monday,Wildlife,Yes,0.25,Afternoon,Nov–Feb,,state,Visakhapatnam Airport (VTZ)
264,Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,Unknown,1.0,3.8,20,Yes,None,Recreational,Yes,0.03,All,Nov–Feb,,state,Visakhapatnam Airport (VTZ)
265,Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1.0,4.3,10,Yes,None,Cultural,Yes,0.065,All,Nov–Feb,,state,Visakhapatnam Airport (VTZ)
266,Eastern,Sikkim,Gangtok,Nathula Pass,Hill,Unknown,2.0,4.3,20,Yes,None,Historical,Yes,0.15,Afternoon,"Mar–Jun, Oct–Dec",,city,Pakyong Airport (PYG)
267,Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1705,1.0,4.6,20,No,None,Religious,No,0.015,Morning,"Mar–Jun, Oct–Dec",,state,Pakyong Airport (PYG)
268,Eastern,Sikkim,Namchi,Char Dham,Religious Complex,211,2.0,4.7,50,Yes,None,Religious,No,0.12,All,"Mar–Jun, Oct–Dec",,state,Pakyong Airport (PYG)
269,Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,1960s,1.0,4.6,10,Yes,None,Religious,No,0.035,Morning,"Mar–Jun, Oct–Dec",,city,Pakyong Airport (PYG)
270,Eastern,Sikkim,Ravangla,Buddha Park,Park,213,1.0,4.8,50,Yes,None,Cultural,Yes,0.1,All,"Mar–Jun, Oct–Dec",,state,Pakyong Airport (PYG)
271,Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1967,1.0,4.7,0,Yes,None,Religious,No,0.075,All,"Mar–Jun, Oct–Dec",,city,Pakyong Airport (PYG)
272,Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,Unknown,2.0,4.5,0,Yes,None,Nature,Yes,0.15,Morning,"Mar–Jun, Oct–Dec",,city,Pakyong Airport (PYG)
273,North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,Unknown,2.0,4.6,0,Yes,None,Religious,No,0.21,All,Nov–Apr,,state,Lokpriya Gopinath Bordoloi International Airport (GAU)
274,North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3.0,4.5,650,No,None,Wildlife,No,0.068,Morning,Nov–Apr,,override:name,Lokpriya Gopinath Bordoloi International Airport (GAU)
275,North Eastern,Assam,Guwahati,Umananda Island,Island,Unknown,1.0,4.1,0,Yes,None,Nature,Yes,0.01,Morning,Nov–Apr,,state,Lokpriya Gopinath Bordoloi International Airport (GAU)
276,North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1.0,4.7,0,No,None,Historical,Yes,0.065,All,Nov–Apr,,state,Lokpriya Gopinath Bordoloi International Airport (GAU)
277,North Eastern,Assam,Majuli,Majuli Island,River Island,Unknown,2.0,4.7,0,No,None,Cultural,Yes,0.01,Morning,Nov–Apr,,state,Lokpriya Gopinath Bordoloi International Airport (GAU)
278,North Eastern,Assam,Manas,Manas National Park,National Park,1990,3.0,4.6,500,No,None,Wildlife,Yes,0.19,Morning,Nov–Apr,,state,Lokpriya Gopinath Bordoloi International Airport (GAU)
279,North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,Unknown,1.0,4.5,0,No,None,Religious,Yes,0.9,All,Nov–Apr,,state,Lokpriya Gopinath Bordoloi International Airport (GAU)
280,North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2.0,4.4,500,Yes,None,Wildlife,Yes,0.037,All,Nov–Apr,,state,Lokpriya Gopinath Bordoloi International Airport (GAU)
